correct?,Character,Mandarin,Predicted Cantonese,Actual Cantonese
o,㷣,xing1,sing1,sing1
x,仴,wo4,waat6,wut6
x,䵮,yang4,joeng6,soeng1
o,和,hu2,wu4,wu4
x,㨋,che3,ce2,ze2
x,喳,cha1,caa3,zaa1
x,丷,ba1,baa1,baat3
x,偯,yi3,ji5,ji2
x,㒆,chi4,ci3,kap1
x,栛,li4,lik6,lai6
x,埱,chu4,ceot1,cuk1
x,寋,jian4,gin3,gin6
o,檗,bo4,baak3,baak3
o,增,zeng1,zang1,zang1
x,軼,yi4,jik6,jat6
o,孟,meng4,maang6,maang6
o,憬,jing3,ging2,ging2
o,䰕,lu2,lou4,lou4
x,嫗,yu4,jyu6,jyu2
x,敞,chang3,coeng2,cong2
o,醪,lao2,lou4,lou4
o,綢,chou2,cau4,cau4
o,篘,chou1,cau1,cau1
o,篾,mie4,mit6,mit6
o,再,zai4,zoi3,zoi3
x,愱,ji2,zik1,zat6
x,趛,yin3,jan5,gam3
x,戛,jia2,gaap3,aat3
x,噗,pu1,pu1,pok3
x,咮,zhou4,zau6,zau3
o,彀,gou4,gau3,gau3
o,水,shui3,seoi2,seoi2
o,蟆,ma2,maa4,maa4
o,貐,yu3,jyu5,jyu5
x,鷤,tan2,taam4,taan4
x,虓,xiao1,hiu1,haau1
x,梏,gu4,gu3,guk1
o,丞,cheng2,sing4,sing4
x,翿,dao4,dou6,tou4
x,䮔,zui1,zeoi1,zeoi2
x,䍜,zhao4,ziu6,zaau3
o,駏,ju4,geoi6,geoi6
x,竩,yi4,jik6,ji6
x,塮,xie4,sit3,ze6
x,怖,bu4,bou6,bou3
o,靼,da2,daat3,daat3
o,㹐,chong2,cung4,cung4
o,嘎,ga1,gaa1,gaa1
o,駤,zhi4,zi3,zi3
x,詥,he2,ho6,hap6
o,焊,han4,hon6,hon6
o,蠊,lian2,lim4,lim4
x,䵯,tuan3,tyun2,teon2
x,胔,zi3,zi2,zi3
o,敨,tou3,tau2,tau2
x,瞁,xu4,zeoi6,hik1
x,漸,jian4,gin3,zim6
o,隿,yi4,jik6,jik6
x,㣇,yi4,jik6,dai6
x,坼,che4,cit3,caak3
o,菲,fei1,fei1,fei1
x,盼,pan4,pun3,paan3
x,碨,wei1,wai1,wui1
o,菉,lu4,luk6,luk6
o,尿,sui1,seoi1,seoi1
x,轕,ge2,gaak3,got3
x,女,nü4,nuk6,neoi6
x,蕺,ji2,zik1,cap1
o,泖,mao3,maau5,maau5
x,䫔,xi4,hei1,hai6
o,體,ti3,tai2,tai2
x,煅,duan4,dyun6,dyun3
x,䰍,ci4,ci3,zaau1
x,潗,ji2,zik1,zap1
x,䮺,ji4,gei3,zai1
x,熋,nai2,naai4,noi4
x,䲺,gan4,gon3,gam3
o,樊,fan2,faan4,faan4
o,跏,jia1,gaa1,gaa1
x,性,xing4,hang6,sing3
o,曄,ye4,jip6,jip6
x,㜆,mi4,mik6,mai6
o,㢖,pan1,pun1,pun1
x,鷺,lu4,luk6,lou6
x,呎,chi3,ci2,cek3
o,椽,chuan2,cyun4,cyun4
o,崶,feng1,fung1,fung1
x,䗛,xiu1,jau1,saau1
o,屏,ping2,ping4,ping4
x,湱,huo4,wok6,waak6
x,瞭,liao4,liu6,liu4
o,禳,rang2,joeng4,joeng4
o,茅,mao2,maau4,maau4
o,菑,zi1,zi1,zi1
o,鎦,liu4,lau6,lau6
o,彤,tong2,tung4,tung4
o,訵,chi1,ci1,ci1
x,晛,xian4,hin6,jin5
x,噼,pi1,pei1,pek1
o,卞,bian4,bin6,bin6
x,䁒,ji2,zik1,caap1
o,廜,tu2,tou4,tou4
o,夰,gao3,gou2,gou2
o,鈶,tai2,toi4,toi4
x,驚,jing1,ging1,geng1
o,挮,ti3,tai2,tai2
x,䯲,pa1,paa1,baa1
o,爜,cong2,cung4,cung4
o,踉,liang2,loeng4,loeng4
o,王,wang2,wong4,wong4
x,抄,chao1,ciu1,caau1
x,嶷,yi2,ji4,jik6
x,職,zhi2,zik6,zik1
x,㞛,ji3,gei1,gei2
x,䢃,yi4,jik6,naa6
x,璉,lian3,lim5,lin5
x,匔,gong1,gung1,kung4
x,俾,pi4,pik1,pai3
x,㝥,mi3,mei5,maai5
x,潷,bi4,bat6,bat1
o,昇,sheng1,sing1,sing1
o,髑,du2,duk6,duk6
x,䲚,lai4,laai6,lai6
o,郇,huan2,waan4,waan4
x,覡,xi2,zik6,hat6
x,㘰,zhen1,zing1,zam1
o,鯔,zi1,zi1,zi1
x,於,yu2,jyu4,jyu1
o,抒,shu1,syu1,syu1
x,瀮,lian2,lim4,lam4
x,睊,juan4,gyun3,gyun1
x,賚,lai4,laai6,loi6
x,膯,teng1,tang1,tang3
o,嚝,hong1,gaa1,gaa1
x,尌,shu4,syu3,syu6
o,蹎,dian1,din1,din1
x,鋑,cuan1,cyun1,zeon3
x,㸹,lie4,lit6,lyut3
o,惘,wang3,mong5,mong5
o,郫,pi2,pei4,pei4
x,濼,po1,pok3,bok6
o,萓,yi2,ji4,ji4
x,罺,chao2,ciu4,caau3
o,麑,ni2,naa4,naa4
x,詁,gu3,gu1,gu2
x,䒔,bai4,baai6,baai3
o,齔,chen4,can3,can3
o,鄠,hu4,wu6,wu6
o,佤,wa3,naa5,naa5
o,鐸,duo2,dok6,dok6
x,棽,chen1,can1,sam1
x,湫,jiao3,giu2,ziu2
x,隼,sun3,seon2,zeon2
x,嗀,hu4,wu6,hok3
o,荍,qiao2,kiu4,kiu4
o,䥎,chun2,seon4,seon4
o,搷,tian2,tin4,tin4
x,仇,chou2,cau4,sau4
o,鈉,na4,naap6,naap6
x,㾵,ji4,gei3,gai3
x,㼉,zhen4,zan3,zam6
x,醥,piao3,piu5,piu2
x,咠,qi4,hei3,cap1
x,蠟,la4,laat6,laap6
x,瀔,gu3,gu1,guk1
x,䱾,lou2,lau4,laau1
o,䶉,liu2,lau4,lau4
o,洉,hou4,hau6,hau6
o,鄃,shu1,syu1,syu1
o,㣚,tong3,tung2,tung2
x,蹚,tang1,tong1,tong2
o,趟,tang4,tong3,tong3
o,鄍,ming2,ming4,ming4
o,鋇,bei4,bui3,bui3
o,瘺,lou4,lau6,lau6
o,䎜,hun1,fan1,fan1
o,掌,zhang3,zoeng2,zoeng2
o,蟨,jue2,kyut3,kyut3
o,兢,jing1,ging1,ging1
o,悇,tu2,tou4,tou4
o,儕,chai2,caai4,caai4
o,犌,jia1,gaa1,gaa1
o,峲,li3,lei5,lei5
x,宨,tiao3,tiu5,tiu2
o,吡,bi3,bei2,bei2
x,餃,jiao3,giu2,gaau2
o,丑,chou3,cau2,cau2
o,恟,xiong1,hung1,hung1
o,狖,you4,jau6,jau6
o,停,ting2,ting4,ting4
x,祚,zuo4,zok6,zou6
o,玀,luo2,lo4,lo4
o,裟,sha1,saa1,saa1
o,溺,niao4,niu6,niu6
o,埈,xun4,seon3,seon3
o,鑉,ta4,taap3,taap3
o,漺,shuang3,song2,song2
o,柚,you2,jau4,jau4
o,氤,yin1,jan1,jan1
o,暄,xuan1,hyun1,hyun1
x,傀,gui1,kaa1,gaa1
o,㞯,jie2,zit3,zit3
x,盞,zhan3,zin2,zaan2
o,棤,cuo4,co3,co3
x,楯,dun4,deon6,teon5
o,俖,pei3,pui2,pui2
o,鄔,wu1,wu1,wu1
o,鄖,yun2,wan4,wan4
o,垿,xu4,zeoi6,zeoi6
o,奷,qian1,cin1,cin1
x,䁎,cheng2,sing4,caang4
x,僰,bo2,bok6,bat6
o,佬,liao2,liu4,liu4
o,瘍,yang2,joeng4,joeng4
x,筱,xiao3,hiu2,siu2
o,脯,fu3,fu2,fu2
x,忤,wu3,mou5,naa5
o,歟,yu2,jyu4,jyu4
x,蠗,zhuo2,zoek3,zok6
o,良,liang2,loeng4,loeng4
x,崉,ta4,taap3,daap6
o,種,zhong4,zung3,zung3
x,炪,zhuo1,zoek3,dyut3
x,碲,di4,dai6,dai3
o,佴,er4,ji6,ji6
o,銶,qiu2,kau4,kau4
x,徛,ji4,gei3,kei5
o,夽,yun3,wan5,wan5
x,葧,bo2,bok6,but6
o,算,suan4,syun3,syun3
x,嶼,yu3,jyu5,zeoi6
o,吩,fen1,fan1,fan1
x,搐,chu4,ceot1,cuk1
o,竺,zhu2,zuk1,zuk1
o,鸚,ying1,jing1,jing1
x,甭,beng2,bang4,bung2
o,蹡,qiang1,coeng1,coeng1
o,樦,zhu4,cyu5,cyu5
x,哋,di4,dai6,dei6
x,㮵,zhan1,zim1,zin1
x,棴,fu2,fu1,fuk6
o,錇,pei2,pui4,pui4
x,慗,chi4,ci3,cik1
o,已,yi3,ji5,ji5
x,㼈,luo2,lo4,leon6
x,獪,kuai4,faai3,kui2
x,勪,jue2,kyut3,kiu5
o,嫖,piao2,piu4,piu4
o,仕,shi4,si6,si6
x,䯛,wan4,maan6,wun2
x,呚,hua2,waa6,mui4
x,腕,wan4,maan6,wun2
o,䰓,mian2,min4,min4
x,汐,xi1,hik1,zik6
x,蛐,qu1,keoi1,kuk1
o,鯸,hou2,hau4,hau4
o,枵,xiao1,hiu1,hiu1
o,鐦,kai1,hoi1,hoi1
o,澬,zi1,zi1,zi1
o,院,yuan4,jyun6,jyun6
o,陵,ling2,ling4,ling4
x,伌,ai4,noi6,aai3
o,譓,hui4,wai6,wai6
o,捈,tu2,tou4,tou4
x,呀,ya,naa3,aa3
x,鼱,jing1,ging1,zing1
x,陣,zhen4,zan3,zan6
x,䟄,qi4,hei3,cik1
x,豯,xi1,hik1,hai4
x,涻,she4,sip3,se3
x,睡,shui4,seoi3,seoi6
x,袂,mei4,mei6,mai6
o,鍚,yang2,joeng4,joeng4
o,惆,chou2,cau4,cau4
x,蜉,fu2,fu1,fau4
o,堵,du3,dou2,dou2
x,簡,jian3,gin2,gaan2
x,巾,jin1,gam1,gan1
o,湯,tang4,tong3,tong3
x,看,kan1,ham1,hon1
o,鿬,tian2,tin4,tin4
x,黌,hong2,wang4,hung4
o,姏,man2,maan4,maan4
o,襹,shi1,si1,si1
o,涌,chong1,cung1,cung1
x,婍,qi3,hei2,kei2
x,顉,qin1,cam1,ham6
o,椸,yi2,ji4,ji4
x,纊,kuang4,kong3,kaa3
o,阤,tuo2,to4,to4
x,䫗,xia2,haa6,haa4
o,殂,cu2,cou4,cou4
o,䃺,mo2,mo4,mo4
o,油,you2,jau4,jau4
x,筑,zhu4,cyu5,zuk1
o,宿,xiu4,sau3,sau3
o,墳,fen2,fan4,fan4
o,䲌,kuan3,fun2,fun2
o,挲,suo1,so1,so1
o,斯,si1,si1,si1
o,鋏,jia2,gaap3,gaap3
x,捋,luo1,lo1,lyut3
o,射,yi4,jik6,jik6
x,渴,jie2,zit3,kit3
o,珈,jia1,gaa1,gaa1
x,瑑,zhuan4,zyun6,syun6
x,埥,cheng1,caang1,cing1
o,䟺,bei4,bui3,bui3
x,哖,nian2,nim4,nin4
x,鑒,jian4,gin3,gaam3
x,企,qi3,hei2,kei5
o,坤,kun1,kaa1,kaa1
o,眑,yao3,jiu2,jiu2
x,稷,ji4,gei3,zik1
o,鵜,ti2,tai4,tai4
x,燵,da2,daat3,daat6
o,岷,min2,man4,man4
x,漀,qing3,king2,hing2
x,喂,wei2,wai4,wai2
x,鵬,peng2,pang4,paang4
x,䀁,you4,jau6,zaau6
o,瓘,guan4,gun3,gun3
x,強,qiang3,coeng2,koeng5
x,隰,xi2,zik6,zaap6
x,㹀,bo2,bok6,but6
x,犴,han1,ham1,hon4
x,宱,zha4,zaa3,zaa6
o,嘮,lao4,lou6,lou6
o,胯,kua4,kaa3,kaa3
o,胳,ge2,gaak3,gaak3
x,闥,ta4,taap3,taat3
x,袱,fu2,fu1,fuk6
x,榼,ke1,ho1,hap6
x,崢,zheng1,zing1,zaang1
o,炍,pan4,pun3,pun3
o,嘴,zui3,zeoi2,zeoi2
o,頰,jia2,gaap3,gaap3
o,訛,e2,naa4,naa4
x,㐩,xing2,jing4,zing4
x,垽,yin4,jan6,naa6
o,胼,pian2,pin4,pin4
x,謋,huo4,wok6,waak6
x,侉,kua3,kaa1,kaa2
o,奅,pao4,paau3,paau3
x,牭,si4,zi6,sei3
x,藉,ji2,zik1,zik6
o,聱,ao2,naa4,naa4
o,簋,gui3,gaa2,gaa2
x,握,wo4,waat6,ak1
o,嬛,huan2,waan4,waan4
o,艕,bang4,bong6,bong6
x,捙,yi4,jik6,jai6
o,䒉,wu3,mou5,mou5
o,宏,hong2,wang4,wang4
x,鋬,pan4,pun3,paan3
x,紨,fu4,fu6,fu1
o,奲,duo3,do2,do2
x,契,qi4,hei3,kai3
o,囂,xiao1,hiu1,hiu1
x,躂,ta4,taap3,taat3
o,浭,geng1,gang1,gang1
x,䖵,kun1,kaa1,gaa1
o,儖,lan2,laam4,laam4
o,嬲,niao3,niu5,niu5
o,慁,hun4,wan6,wan6
o,䮵,tong2,tung4,tung4
o,僥,yao2,jiu4,jiu4
o,䲜,ye4,jip6,jip6
x,釤,shan1,sim1,saam1
x,晾,liang4,loeng6,long6
o,蔑,mie4,mit6,mit6
x,㓢,luo4,lok6,lok3
x,痔,zhi4,zi3,zi6
o,碑,bei1,bei1,bei1
x,拭,shi4,si6,sik1
x,埔,pu3,pou2,bou3
o,紕,pi1,pei1,pei1
x,凼,dang4,dong6,tam5
x,鬇,zheng1,zing1,zang1
o,譑,jiao3,giu2,giu2
x,蕭,xiao1,hiu1,siu1
o,譎,jue2,kyut3,kyut3
o,趔,lie4,lit6,lit6
o,絘,ci4,ci3,ci3
o,寷,feng1,fung1,fung1
x,臅,chu4,ceot1,zuk6
o,潵,sa3,saat3,saat3
x,睟,sui4,seoi6,seoi3
o,鞶,pan2,pun4,pun4
o,灞,ba4,baa3,baa3
o,棑,pai2,paai4,paai4
x,罘,fu2,fu1,fau4
x,䴆,pu2,pou4,buk6
o,蛉,ling2,ling4,ling4
x,猗,o3,au2,o2
o,壞,huai4,waai6,waai6
o,竦,song3,sung2,sung2
o,絣,beng1,bang1,bang1
o,䮟,sou1,sau1,sau1
x,觀,guan1,gaa1,gun1
o,黸,lu2,lou4,lou4
x,扷,ao4,nou6,ou3
o,䴦,yin2,naa4,naa4
x,㪠,qian4,hin3,him3
x,匿,ni4,nik6,nik1
x,拴,shuan1,syun1,saan1
o,漮,kang1,hong1,hong1
o,驒,tuo2,to4,to4
x,狹,xia2,haa6,haap6
x,艞,yao4,jiu6,tiu1
o,㙝,xie2,hip3,hip3
x,恧,nü4,nuk6,nuk1
o,敖,ao2,naa4,naa4
o,鳱,han4,hon6,hon6
x,澳,ao4,nou6,ou3
x,菹,ju1,geoi1,zeoi1
o,邀,yao1,jiu1,jiu1
x,啤,pi2,pei4,be1
o,凁,sou1,sau1,sau1
o,皞,hao4,hou6,hou6
o,誾,yin2,naa4,naa4
x,躅,zhu2,zuk1,zuk6
o,孉,quan2,kyun4,kyun4
o,杶,chun1,ceon1,ceon1
x,爍,shuo4,sok3,soek3
x,膙,jiang3,gong2,koeng6
o,痳,lin2,lam4,lam4
x,婐,wo3,wo2,lo2
x,闊,kuo4,kaa3,fut3
o,狼,lang2,long4,long4
o,蹄,ti2,tai4,tai4
o,阡,qian1,cin1,cin1
x,䬓,an4,non6,aam3
x,蒂,di4,dai6,dai3
x,墐,jin4,gam3,gan2
x,炇,pu1,pu1,pok3
x,咳,ke2,ho3,kat1
x,模,mo2,mo4,mou4
o,昍,xuan1,hyun1,hyun1
x,琀,han2,hon4,ham3
x,羆,pi2,pei4,bei1
o,寊,zhen1,zing1,zing1
o,嬗,shan4,sin6,sin6
o,嗷,ao2,naa4,naa4
x,樠,man2,maan4,mun4
x,榯,shi2,sik6,si4
o,佊,bi3,bei2,bei2
o,愮,yao2,jiu4,jiu4
x,榺,sheng4,sing6,sing3
o,氋,meng2,mung4,mung4
o,㑎,nao3,nou5,nou5
x,氨,an1,am1,on1
x,雒,luo4,lok6,lok3
o,藁,gao3,gou2,gou2
o,壔,dao3,dou2,dou2
x,圑,fu4,fu6,pou2
x,䭭,shou3,sau2,saau2
o,鱄,tuan2,tyun4,tyun4
o,䮊,yi2,ji4,ji4
x,娊,xian4,hin6,jin6
o,㜚,su4,suk1,suk1
o,褙,bei4,bui3,bui3
o,咯,luo4,lok6,lok6
x,瀸,jian1,gin1,cim1
x,擲,zhi4,zi3,zaak6
x,檉,cheng1,caang1,cing1
x,瀄,zhi4,zi3,zit1
x,幓,shan1,sim1,saam1
o,頫,tiao4,tiu3,tiu3
x,鼶,si1,si1,tai4
x,磅,pang1,pong1,pong4
o,糜,mi2,mei4,mei4
o,㡒,zhun1,zeon1,zeon1
x,惙,chuo4,coek3,zyut3
x,厞,fei4,fai3,fei6
x,墊,dian4,din6,zin3
x,豌,wan1,waan1,wun1
o,鶬,qiang1,coeng1,coeng1
x,趣,qu1,keoi1,ceoi1
o,暓,mao4,mau6,mau6
o,垑,chi3,ci2,ci2
o,懰,liu2,lau4,lau4
o,䎖,zeng1,zang1,zang1
o,鯼,zong1,zung1,zung1
x,冚,kan3,ham2,kam2
o,樛,jiu1,gau1,gau1
o,酆,feng1,fung1,fung1
o,䮷,du2,duk6,duk6
x,酷,ku4,fu3,huk6
o,帩,qiao4,ciu3,ciu3
x,㗾,xue1,hyut3,hoe1
o,潻,shu3,syu2,syu2
x,悔,hui3,wai2,fui3
o,柎,fu1,fu1,fu1
x,紃,xun2,seon4,ceon4
o,源,yuan2,jyun4,jyun4
o,蝦,xia1,haa1,haa1
x,霞,xia2,haa6,haa4
x,礫,li4,lik6,lik1
o,蕃,fan1,faan1,faan1
x,俶,ti4,tai3,tik1
o,澐,yun2,wan4,wan4
o,劏,tang1,tong1,tong1
o,裲,liang3,loeng5,loeng5
o,陬,zou1,zau1,zau1
o,孊,mi3,mei5,mei5
x,㚪,hao4,hou6,hou3
x,扽,den4,dan6,dan3
x,䵌,xian1,hin1,him1
x,傂,zhi4,zi3,zi6
x,焓,han2,hon4,ham4
x,媉,wo4,waat6,ak1
o,烝,zheng1,zing1,zing1
x,蒡,pang2,pong4,pang4
x,挾,xie2,hip3,hip6
x,苙,li4,lik6,lap1
o,唬,hu3,fu2,fu2
x,柞,zha4,zaa3,zaa6
x,衷,zhong1,zung1,cung1
o,絺,chi1,ci1,ci1
x,聽,ting1,ting1,teng1
o,圃,pu3,pou2,pou2
o,街,jie1,gaai1,gaai1
o,摫,gui1,kaa1,kaa1
x,梡,hun2,wan4,fun2
o,鴕,tuo2,to4,to4
x,興,xing4,hang6,hing3
x,㣌,shan4,sin6,saam3
x,鮪,wei3,wai5,fui2
o,茇,ba2,bat6,bat6
x,蹈,dao3,dou2,dou6
o,磷,ling2,ling4,ling4
o,惟,wei2,wai4,wai4
x,焌,qu1,keoi1,zeot1
o,媓,huang2,wong4,wong4
o,攖,ying1,jing1,jing1
o,紓,shu1,syu1,syu1
o,杪,miao3,miu5,miu5
o,腜,mei2,mui4,mui4
x,褖,tuan4,tyun3,teon3
o,鄮,mao4,mau6,mau6
x,數,shu3,syu2,sou2
o,鰥,guan1,gaa1,gaa1
o,㔵,xuan3,syun2,syun2
o,紟,jin1,gam1,gam1
x,㒧,li4,lik6,lai6
x,顢,man1,maan1,mun4
x,䬣,xi4,hei1,hei3
x,㒅,qi3,hei2,kai2
x,昔,xi1,hik1,sik1
o,賒,she1,se1,se1
x,捎,shao1,siu1,saau1
x,䏱,ju2,gaa1,guk1
o,礓,jiang1,goeng1,goeng1
x,㓲,pian1,pin1,pin3
o,胸,xiong1,hung1,hung1
o,殯,bin4,ban3,ban3
o,駬,er3,ji5,ji5
o,濃,nong2,nung4,nung4
x,唉,ai4,noi6,aai1
x,鹶,jin1,gam1,ging1
o,公,gong1,gung1,gung1
o,墡,shan4,sin6,sin6
x,褌,kun1,kaa1,gaa1
x,扠,cha1,caa3,caa1
o,翱,ao2,naa4,naa4
x,咬,yao3,jiu2,naa5
o,聆,ling2,ling4,ling4
x,猁,li4,lik6,lei6
x,夼,kuang3,kong2,kong3
x,內,nei4,neoi6,noi6
o,砟,zha4,zaa3,zaa3
x,恏,hao4,hou6,hou2
x,嗑,ke4,ho1,gaap3
x,顏,yan2,jin4,naa4
x,鿫,ao4,nou6,ou3
x,蜭,han4,hon6,ham5
o,身,juan1,gyun1,gyun1
o,懙,yu2,jyu4,jyu4
o,鐮,lian2,lim4,lim4
x,儲,chu3,co2,cyu5
x,軋,ya4,aa3,zaat3
x,醱,po1,pok3,put3
o,曎,yi4,jik6,jik6
x,璯,hui4,wai6,wui6
o,靬,jian1,gin1,gin1
x,姓,xing4,hang6,sing3
x,㩜,lan3,laam5,gaam3
x,睜,zheng1,zing1,zaang1
o,吋,cun4,cyun3,cyun3
o,薜,bo4,baak3,baak3
x,擂,lei4,leoi6,leoi4
x,愰,huang4,wong2,jiu6
x,柑,gan1,gon1,gam1
o,颹,wei3,wai5,wai5
x,梀,su4,suk1,saak3
x,鏌,mo4,mak6,mok6
o,躪,lin4,leon6,leon6
o,攺,yi3,ji5,ji5
o,胮,pang1,pong1,pong1
x,棏,de2,dak1,dak6
o,綆,geng3,gang2,gang2
x,頪,lei4,leoi6,loi6
o,偶,ou3,naa5,naa5
x,戽,hu4,wu6,fu3
o,晪,tian3,tin2,tin2
o,𩷓,zhi4,zi3,zi3
x,齗,yan3,jin2,naa4
o,稟,lin3,lam5,lam5
x,鏾,xian1,hin1,sin3
o,揆,kui2,kaa4,kaa4
o,鑱,chan2,caam4,caam4
x,獝,yu4,jyu6,wat6
o,歽,zhe2,zit3,zit3
x,沈,chen2,san4,cam4
x,娎,xie4,sit3,hit3
o,簥,jiao1,giu1,giu1
o,騿,zhang1,zoeng1,zoeng1
x,脕,wan3,jyun5,maan6
x,犆,te4,tik1,dat6
o,獈,yi4,jik6,jik6
x,仙,xian1,hin1,sin1
o,手,shou3,sau2,sau2
x,期,qi1,cei1,kei4
o,懢,lan2,laam4,laam4
o,崺,yi3,ji5,ji5
o,砮,nu3,nou5,nou5
o,名,ming2,ming4,ming4
x,吔,ye1,jit6,jaa1
x,𥀬,yan3,jin2,jim2
o,橧,zeng1,zang1,zang1
o,軏,yue4,jyut6,jyut6
x,㠛,wo4,waat6,waak6
x,䰠,shen2,san4,saan1
x,逐,zhu2,zuk1,zuk6
o,尃,fu1,fu1,fu1
o,䵼,shang1,soeng1,soeng1
x,抹,mo4,mak6,mut3
x,泫,xuan4,jyun3,jyun5
o,妦,feng1,fung1,fung1
x,傭,yong1,jung1,jung4
x,駮,bo2,bok6,bok3
o,朧,long2,lung4,lung4
o,耞,jia1,gaa1,gaa1
o,嫤,jin3,gan2,gan2
x,璇,xuan2,jyun4,syun4
o,諟,shi4,si6,si6
o,幔,man4,maan6,maan6
x,灀,shuang4,song3,soeng1
x,踑,qi2,kei4,kei1
o,枹,fu2,fu1,fu1
o,濆,fen2,fan4,fan4
x,甮,feng4,fung3,fung6
o,騥,rou2,jau4,jau4
o,耀,yao4,jiu6,jiu6
o,潤,run4,jeon6,jeon6
x,輟,chuo4,coek3,zyut3
x,堁,ke4,ho1,fo3
x,巇,xi1,hik1,hei3
o,瞘,kou1,kau1,kau1
x,穬,gong3,gung2,gaa2
o,㺧,xiao1,hiu1,hiu1
x,嗏,cha1,caa3,caa1
x,創,chuang4,cong4,cong3
x,侫,ning4,ning6,ling6
o,嘓,guo1,gaa3,gaa3
o,獒,ao2,naa4,naa4
o,娮,yan2,jin4,jin4
x,次,zi1,zi1,ci1
x,扳,pan1,pun1,paan1
o,縞,gao3,gou2,gou2
o,栨,ci4,ci3,ci3
o,飯,fan4,faan6,faan6
